date,AAPL,TSLA,NVDA,GOOGL,AMZN,MSFT,NFLX
2021-10-31,,,,,,,
2021-11-30,,,,,,,
2021-12-31,,,,,,,
2022-01-31,,,,,,,
2022-02-28,,,,,,,
2022-03-31,,,,,,,
2022-04-30,,,,,,,
2022-05-31,,,,,,,
2022-06-30,,,,,,,
2022-07-31,,,,,,,
2022-08-31,,,,,,,
2022-09-30,,,,,,,
2022-10-31,,,,,,,
2022-11-30,,,,,,,
2022-12-31,,,,,,,
2023-01-31,,,,,,,
2023-02-28,,,,,,,
2023-03-31,0.054662178325014125,-0.05394360257314062,0.12954828542268446,0.11012357468352345,0.24823238219590685,-0.16744845746626977,-0.05484201702900564
2023-04-30,0.032763828335707734,-0.04730818370192565,0.07650701544204624,0.08779593745728485,0.23592891724126627,-0.21614944268004868,-0.08138422505210388
2023-05-31,0.03039428488372933,-0.010679213645039376,0.05585744201540093,0.06594971734677749,0.2708160963637411,-0.19322200304732198,-0.022195876259849506
2023-06-30,0.03441104470817131,-0.03579843446509572,0.055082663624980294,0.06460698559889655,0.255417324935132,-0.2224004344183186,-0.01322505165774258
2023-07-31,0.04058703761169977,-0.036715338407901754,0.020919086911832845,0.04843441134778056,0.15871818004039556,-0.21326230699307255,-0.005185499874820479
2023-08-31,0.030047649359171195,-0.02634765978463751,0.01569622755290301,0.04897729571747414,0.15973963206711037,-0.2266411424003085,-0.019502052384409965
2023-09-30,0.03055934024731765,-0.026152219068462743,0.015718827523630456,0.04884701959128141,0.15980573814460658,-0.22720512032641,-0.019611117880236117
2023-10-31,0.012791530363667864,-0.014901330179637304,-0.0013738578796988123,0.030662888706497114,0.12630065977224342,-0.22969622296461056,-0.02380258842056178
2023-11-30,0.0021333817397108388,0.012398606899983119,-0.011792317723706855,-0.005078614758523639,0.17248665588528964,-0.1834147685097733,-0.025618406743975652
2023-12-31,-0.00786315240090202,0.019770039437760695,-0.02852640678517959,-0.006091843369053079,0.17956517674640157,-0.1626047616648759,-0.008516465103708548
2024-01-31,-0.015472929671104352,0.020388787337690114,-0.01122306783214455,-0.003960431059699645,0.1910910201823288,-0.16722031026725367,-0.027869271341153336
2024-02-29,-0.009541098619609415,-0.00764867667262849,0.0033909047943898375,-0.05095954737719647,0.21162282825734055,-0.16223537076292635,-0.04823638924624123
2024-03-31,-0.04463658519753996,0.013953465618500652,0.00016043169794573476,-0.09158091098301942,0.19489756319592125,-0.15299959053688986,-0.018693930532549516
2024-04-30,-0.049292348724840035,0.008548791432862688,0.012731764926437721,-0.09774325454682883,0.21727188242835194,-0.17155330730555182,-0.024982246326546633
2024-05-31,-0.039252918031315365,0.008922433806106207,0.006687635022546183,-0.08571337355679054,0.22306729190066096,-0.166131359728944,-0.024622692623024637
2024-06-30,-0.0728120380412316,-0.021495557057834864,-0.06398131569876217,-0.08358800268522182,0.175487453868089,-0.1594890196468239,0.06339911161851804
2024-07-31,-0.08333480277270716,-0.03737598849635853,-0.03587107985789062,-0.07008555719415839,0.18069108762671496,-0.166165347604517,0.07502312060644256
2024-08-31,-0.1293831628169262,-0.04440807939933203,-0.017753458410356145,-0.12643305186821316,0.1954575505739418,-0.14493806088023356,0.07364584189263426
2024-09-30,-0.15257174962531536,-0.03783176531740094,-0.010689296978268285,-0.1430525727203817,0.1854245152184411,-0.127776229428285,0.09836942817994132
2024-10-31,-0.09389171932494284,-0.08804644950037281,-0.03628069686467148,-0.145829933141241,0.1443285178087292,-0.08281206774174696,0.11045807402203237
2024-11-30,-0.11576037504178019,-0.08374957894039924,-0.03915080435247268,-0.15225687535452817,0.12690104961618445,-0.07495634297118861,0.1154512448699489
2024-12-31,-0.09953952369087739,-0.09325839766559893,-0.05216909914624127,-0.15157604266708327,0.11507144910919968,-0.04285301460515796,0.13621375281807016
2025-01-31,-0.09189589631795993,-0.12455621346205539,-0.05645544887317378,-0.14545207782243413,0.119586804334636,-0.03254255759653177,0.13964723747197805
2025-02-28,-0.09305001337042829,-0.12854934900281306,-0.04147742299818443,-0.15107708536318595,0.11834827284549601,-0.023527828039430893,0.14679587829697296
2025-03-31,-0.09344227151339232,-0.12859623067289386,-0.040632193128806664,-0.1512710859410412,0.11958954371909938,-0.022767996323600815,0.14749480526205078
2025-04-30,-0.07801972996298724,-0.13676831687577448,-0.03401735321421194,-0.13712705226205915,0.11796219311890353,-0.009384737302736633,0.16463738382623386
2025-05-31,-0.09260965546444451,-0.1699312409850269,-0.026656497241858267,-0.14402349053222843,0.06962132186027431,-0.011277856214927556,0.13221758960963492
2025-06-30,-0.0899385115346833,-0.14325180363638979,-0.03821907158666509,-0.16986066968265529,0.1015058187890475,0.05252456134309517,0.13602170666419852
2025-07-31,-0.08830879295962099,-0.18610987802452766,0.032751648003966495,-0.17300536646314707,0.17233603864591499,0.06571253815806351,0.13954166833797718
2025-08-31,-0.07608388478668691,-0.19592598699130903,0.04200341108450575,-0.1691722126670976,0.16138391887982806,0.07622062632176149,0.15423218086584672
2025-09-30,-0.05529909885839549,-0.14962086950803746,0.0007337452085848466,-0.17776983206264801,0.14714019789530097,0.048284208184078956,0.13703233979120777
