date,AAPL,TSLA,NVDA,GOOGL,AMZN,MSFT,NFLX
2021-09-30,141.5,258.4933,20.716,133.676,164.252,281.92,610.34
2021-10-31,149.8,371.3333,25.567,148.046,168.6215,331.62,690.31
2021-11-30,165.3,381.5867,32.676,141.8975,175.3535,330.59,641.9
2021-12-31,177.57,352.26,29.411,144.852,166.717,336.32,602.44
2022-01-31,174.78,312.24,24.486,135.3035,149.5735,310.98,427.14
2022-02-28,165.12,290.1433,24.385,135.057,153.563,298.79,394.52
2022-03-31,174.61,359.2,27.286,139.0675,162.9975,308.31,374.59
2022-04-30,157.65,290.2533,18.547,114.1095,124.2815,277.52,190.36
2022-05-31,148.84,252.7533,18.672,113.762,120.2095,271.87,197.44
2022-06-30,136.72,224.4733,15.159,108.963,106.21,256.83,174.87
2022-07-31,162.51,297.15,18.163,116.32,134.95,280.74,224.9
2022-08-31,157.22,275.61,15.094,108.22,126.77,261.47,223.56
2022-09-30,138.2,265.25,12.139,95.65,113.0,232.9,235.44
2022-10-31,153.34,227.54,13.497,94.51,102.44,232.13,291.88
2022-11-30,148.03,194.7,16.923,100.99,96.54,255.14,305.53
2022-12-31,129.93,123.18,14.614,88.23,84.0,239.82,294.88
2023-01-31,144.29,173.22,19.537,98.84,103.13,247.81,353.86
2023-02-28,147.41,205.71,23.216,90.06,94.23,249.42,322.13
2023-03-31,164.9,207.46,27.777,103.73,103.29,288.3,345.48
2023-04-30,169.68,164.31,27.749,107.34,105.45,307.26,329.93
2023-05-31,177.25,203.93,37.834,122.87,120.58,328.39,395.23
2023-06-30,193.97,261.77,42.302,119.7,130.36,340.54,440.49
2023-07-31,196.45,267.43,46.729,132.72,133.68,335.92,438.97
2023-08-31,187.87,258.08,49.355,136.17,138.01,327.76,433.68
2023-09-30,171.21,250.22,43.499,130.86,127.12,315.75,377.6
2023-10-31,170.77,200.84,40.78,124.08,133.09,338.11,411.69
2023-11-30,189.95,240.08,46.77,132.53,146.09,378.91,473.97
2023-12-31,192.53,248.48,49.522,139.69,151.94,376.04,486.88
2024-01-31,184.4,187.29,61.527,140.1,155.2,397.58,564.11
2024-02-29,180.75,201.88,79.112,138.46,176.76,413.64,602.92
2024-03-31,171.48,175.79,90.356,150.93,180.38,420.72,607.33
2024-04-30,170.33,183.28,86.402,162.78,175.0,389.33,550.64
2024-05-31,192.25,178.08,109.633,172.5,176.44,415.13,641.62
2024-06-30,210.62,197.88,123.54,182.15,193.25,446.95,674.88
2024-07-31,222.08,232.07,117.02,171.54,186.98,418.35,628.35
2024-08-31,229.0,214.11,119.37,163.38,178.5,417.14,701.35
2024-09-30,233.0,261.63,121.44,165.85,186.33,430.3,709.27
2024-10-31,225.91,249.85,132.76,171.11,186.4,406.35,756.03
2024-11-30,237.33,345.16,138.25,168.95,207.89,423.46,886.81
2024-12-31,250.42,403.84,134.29,189.3,219.39,421.5,891.32
2025-01-31,236.0,404.6,120.07,204.02,237.68,415.06,976.76
2025-02-28,241.84,292.98,124.92,170.28,212.28,396.99,980.56
2025-03-31,222.13,259.16,108.38,154.64,190.26,375.39,932.53
2025-04-30,212.5,282.16,108.92,158.8,184.42,395.26,1131.72
2025-05-31,200.85,346.46,135.13,171.74,205.01,460.36,1207.23
2025-06-30,205.17,317.66,157.99,176.23,219.39,497.41,1339.13
2025-07-31,207.57,308.27,177.87,191.9,234.11,533.5,1159.4
2025-08-31,232.14,333.87,174.18,212.91,229.0,506.69,1208.25
2025-09-30,256.19,438.4286,177.635,246.8599,220.41,510.895,1211.245
