date,AAPL,TSLA,NVDA,GOOGL,AMZN,MSFT,NFLX
2021-09-30,,,,,,,
2021-10-31,,,,,,,
2021-11-30,,,,,,,
2021-12-31,,,,,,,
2022-01-31,,,,,,,
2022-02-28,,,,,,,
2022-03-31,,,,,,,
2022-04-30,,,,,,,
2022-05-31,,,,,,,
2022-06-30,,,,,,,
2022-07-31,,,,,,,
2022-08-31,,,,,,,
2022-09-30,,,,,,,
2022-10-31,,,,,,,
2022-11-30,,,,,,,
2022-12-31,,,,,,,
2023-01-31,,,,,,,
2023-02-28,,,,,,,
2023-03-31,,,,,,,
2023-04-30,,,,,,,
2023-05-31,,,,,,,
2023-06-30,,,,,,,
2023-07-31,,,,,,,
2023-08-31,,,,,,,
2023-09-30,-2.787080312533679,2.9028080481307543,-6.032210500448448,-1.8336049579096132,-6.098192923928569,-2.4200360443721527,-10.945696587553048
2023-10-31,-3.55838037109945,-1.8172616135592716,-8.175132731852859,-3.092116730175615,-7.531035400006781,-6.408196407157112,-15.002681176300475
2023-11-30,-6.203484364508535,-4.535398683897459,-13.316523567188144,-3.3390874976349405,-9.466720441718028,-7.718148023184983,-16.05503847197435
2023-12-31,-7.147088315420181,-3.9692489824273895,-12.21454049300695,-4.030699116725429,-9.372621206745327,-7.877322962929599,-15.771996891103678
2024-01-31,-6.999884440504683,-2.563845431098188,-10.916862288157107,-3.487850915536891,-8.620470428444957,-7.359577144751467,-13.601948844795174
2024-02-29,-6.502696451030058,-1.6661707428362655,-10.364836700348551,-3.5603355134220123,-9.110354390157557,-6.948184609126879,-12.761455494317982
2024-03-31,-9.754580040490282,-10.1812473355507,-14.541984286507095,-5.223513330729433,-12.891513521227424,-9.095278490853584,-12.837098844388633
2024-04-30,-9.488500351135796,-9.870943768657671,-13.330084530590128,-4.943914132957219,-12.188532857403985,-8.596274550922368,-11.250206653297758
2024-05-31,-10.754159672591738,-6.3838759404155185,-15.966411289897433,-5.698041033876876,-12.24181460713185,-9.542470208229574,-14.548400098939027
2024-06-30,-14.085519744917185,-1.9941499166515606,1.7594865040528012,-5.439574121824098,-11.178660769916405,-13.32867535888298,-9.064519455097464
2024-07-31,-8.557530692473359,9.333301051133546,9.188034106747141,-2.5861562377759033,-0.18849329300855788,-10.12516995572484,2.607707916561646
2024-08-31,-10.573440444928398,8.478321540938762,2.7328565656421544,-4.490207124917298,-1.7142597993145943,-12.898772277382914,0.22970154332119058
2024-09-30,-6.956410170919724,9.344403621316538,11.933379197908671,-0.6550412221383444,1.8486088586911664,-9.68832959351329,0.4133379942484848
2024-10-31,-12.632733544649703,19.775211476655908,13.64628384170095,1.3308828650000293,8.763000559412497,-9.235277636870318,-10.038348910894536
2024-11-30,-12.306246865320814,22.614423231621437,12.977557986994865,0.986598738325526,9.469303928634618,-9.132410547526652,-9.019751756957604
2024-12-31,-18.976663205838697,8.254757059537397,0.10413806700077555,-3.6465493055197076,2.97568808292404,-14.170804944130255,-14.517569196260466
2025-01-31,-30.668317605063656,-17.359193452076738,-26.111280791909397,-7.744748668816502,-7.372376874142767,-18.111416778906577,-23.92541619587535
2025-02-28,-31.180701909862748,-18.418468064389945,-28.452791987138436,-3.8693167397645403,-3.8214931023991197,-17.588300732509065,-21.06407664760937
2025-03-31,-17.918852473257097,-8.5567040515948,-8.162160843564267,8.573444806543591,7.339736673928242,-5.986457182061508,-11.985272508149636
2025-04-30,-19.36201926743629,-0.6733484576332746,-5.994614567549619,8.486919426409631,8.2064186610325,-8.432165871996673,-9.806037165715583
2025-05-31,-16.028938839504757,-3.2833716934683723,-6.31197395088997,8.329566205760143,7.182547548004545,-12.03591479394411,-7.399140956562033
2025-06-30,-16.258773838869338,-5.989621551683976,-5.3449880605873386,8.63093992898811,7.363575911182129,-11.346259200766829,-7.038994087193061
2025-07-31,-16.2920557287844,-5.616987221267798,-5.303598160589827,9.34814962424431,7.088795666665125,-12.258750989619287,-6.371301506803664
2025-08-31,-10.970957010674432,-0.5008212579090686,-8.509217359001102,13.25292363840469,5.761183095038856,-13.371925625206794,-3.5397325921718847
