symbol,transactionDate,acquisitionOrDisposition,transactionType,shares,price,directOrIndirect,reportingName,side,notional,signed_notional
FDMT,2025-09-23,D,S-Sale,2407.0,8.0,D,Bizily Scott,-1.0,19256.0,-19256.0
CRWV,2025-09-24,D,S-Sale,197.0,124.8468,D,Intrator Michael N,-1.0,24594.8196,-24594.8196
CRWV,2025-09-24,D,S-Sale,1428.0,126.4413,D,Intrator Michael N,-1.0,180558.1764,-180558.1764
CRWV,2025-09-24,D,S-Sale,2958.0,127.4024,D,Intrator Michael N,-1.0,376856.2992,-376856.2992
CRWV,2025-09-24,D,S-Sale,4653.0,128.3622,D,Intrator Michael N,-1.0,597269.3166,-597269.3166
CRWV,2025-09-24,D,S-Sale,4987.0,129.4241,D,Intrator Michael N,-1.0,645437.9867,-645437.9867
CRWV,2025-09-24,D,S-Sale,5314.0,130.2692,D,Intrator Michael N,-1.0,692250.5288000001,-692250.5288000001
CRWV,2025-09-24,D,S-Sale,6215.0,131.5299,D,Intrator Michael N,-1.0,817458.3285,-817458.3285
CRWV,2025-09-24,D,S-Sale,4212.0,132.2988,D,Intrator Michael N,-1.0,557242.5456,-557242.5456
CRWV,2025-09-24,D,S-Sale,2491.0,133.2845,D,Intrator Michael N,-1.0,332011.68950000004,-332011.68950000004
CME,2025-09-25,A,P-Purchase,11.57,265.219,D,SHEPARD WILLIAM R,1.0,3068.58383,3068.58383
CVKD,2025-09-24,D,S-Sale,1500.0,13.9953,D,Szot Matthew K,-1.0,20992.95,-20992.95
CVKD,2025-09-25,D,S-Sale,10900.0,14.0534,D,Szot Matthew K,-1.0,153182.06,-153182.06
CVKD,2025-09-24,D,S-Sale,2581.0,13.99,D,Pham Quang X,-1.0,36108.19,-36108.19
CVKD,2025-09-25,D,S-Sale,6790.0,14.09,D,Pham Quang X,-1.0,95671.1,-95671.1
LPSN,2025-09-25,D,S-Sale,446601.0,0.629,D,Collins John DeNeen,-1.0,280912.029,-280912.029
ACLX,2025-09-26,D,S-Sale,12396.0,80.119,D,Heery Christopher,-1.0,993155.124,-993155.124
