symbol,insider_signal,signal_z,insiders_90d,trades_90d
MSIF,55078.927092375685,0.4455337655485165,2.0,2.0
PGEN,43961.54200944452,0.4437307959791956,2.0,2.0
CME,2126.9802300763386,0.43694624716025815,1.0,1.0
NOTE,0.0,0.43660130267909036,0.0,0.0
BYND,-975.3412607095102,0.43644312603956187,1.0,1.0
RAKR,-11832.022372158266,0.434682436316057,1.0,1.0
AERG,-13308.42586675095,0.434442999564255,1.0,1.0
FDMT,-13347.242108862307,0.43443670451350336,1.0,1.0
PCTY,-14499.613159486827,0.43424981794608275,1.0,1.0
GPRO,-20711.23775513117,0.4332424434566279,1.0,1.0
NEE,-43921.54835505316,0.42947829537738264,1.0,1.0
GECC,-50429.65481734667,0.4284228387373648,2.0,2.0
RVMD,-55190.97088663813,0.42765066903029664,1.0,1.0
SATL,-59769.80412081185,0.4269080936024755,1.0,1.0
SITM,-199223.6694893589,0.40429206710810806,1.0,1.0
COCO,-244640.08305290336,0.3969266290134539,2.0,2.0
SNOW,-258871.61140435652,0.3946186211185046,1.0,1.0
URG,-259627.57435500753,0.39449602230723824,1.0,1.0
LIF,-319894.29984844587,0.3847222246653711,1.0,1.0
RXRX,-329938.05794653395,0.3830933712904641,1.0,1.0
CRM,-376705.988789649,0.37550874995179173,1.0,5.0
GETY,-427358.22148118,0.3672941892902921,11.0,11.0
WSM,-482267.54808229033,0.35838923149714175,1.0,1.0
CVKD,-492414.4498922365,0.35674365071985015,4.0,4.0
LPSN,-580995.4302494284,0.34237796932865416,3.0,3.0
MNMD,-606491.0706706607,0.33824319631441324,3.0,3.0
SVV,-620769.2025029018,0.335927630467926,2.0,2.0
ACLX,-688402.6740592628,0.3249591257184714,1.0,1.0
AGX,-925351.4860475269,0.28653178922569533,1.0,1.0
DOCS,-1039720.7708399179,0.26798387183257905,1.0,1.0
WMT,-1389058.2794026781,0.21132982120263058,1.0,1.0
CRWV,-2927631.669335636,-0.038189376119672894,1.0,9.0
ROST,-3982301.0665233033,-0.20923111072170672,1.0,1.0
AZO,-8277906.100405837,-0.9058738104337566,1.0,18.0
VST,-9480428.84504003,-1.1008937633110203,2.0,3.0
GM,-10764513.606286181,-1.309141092308373,2.0,4.0
BX,-13761385.4468971,-1.7951608434881559,1.0,2.0
QURE,-14317083.468501171,-1.885281552198893,3.0,7.0
IHT,-32058057.10089747,-4.762436148421674,1.0,1.0
