symbol,rank_date,filingDate,net_shares_90d,net_dollars_90d,buy_insider_count_90d,z_dollars,z_shares,z_count,signal_score,cs_rank,cs_percentile,group
MGTI,2025-09-26,2025-09-26,500000000.0,0.0,1.0,0.4955411357292322,62825.149277571145,0.0,6282.812252438552,1.0,0.014492753623188406,long
CBSTF,2025-09-26,2025-09-26,4026320.0,0.0,5.0,0.4955411357292322,505.91229850970717,2.697963037906381,51.89794344378018,2.0,0.028985507246376812,long
CXM,2025-09-26,2025-09-26,725709.0,0.0,1.0,0.4955411357292322,91.1895674875752,0.0,9.41628143019506,3.0,0.043478260869565216,long
HCAT,2025-09-26,2025-09-26,467000.0,0.0,1.0,0.4955411357292322,58.682706479112,0.0,6.165595329348739,4.0,0.057971014492753624,long
MPW,2025-09-26,2025-09-26,287018.0,0.0,4.0,0.4955411357292322,36.06791589190698,2.023472278429786,4.711157954157173,5.0,0.07246376811594203,long
WOR,2025-09-26,2025-09-26,40590.0,529500.0,10.0,2.8634680244521262,5.104166101240359,6.070416835289357,4.249622475382119,6.0,0.08695652173913043,long
PAYS,2025-09-26,2025-09-26,250001.0,0.0,4.0,0.4955411357292322,31.41671908796787,2.023472278429786,4.246038273763262,7.0,0.10144927536231885,long
ZONE,2025-09-26,2025-09-26,242500.0,0.0,1.0,0.4955411357292322,30.47421625882593,0.0,3.3447463073201327,8.0,0.11594202898550725,long
CRGY,2025-09-26,2025-09-26,191257.0,0.0,2.0,0.4955411357292322,24.035518422041434,0.6744907594765952,2.9032237514846613,9.0,0.13043478260869565,long
ACIW,2025-09-26,2025-09-26,164498.0,0.0,1.0,0.4955411357292322,20.673242298190054,0.0,2.3646489112565447,10.0,0.14492753623188406,long
VRT,2025-09-26,2025-09-26,16.5,0.0,9.0,0.4955411357292322,0.0060940390899058994,5.395926075812762,2.1167119080903585,11.0,0.15942028985507245,long
KSS,2025-09-26,2025-09-26,1438.0,-556.885,8.0,0.4930507429711086,0.18470592705487984,4.721435316336167,1.930731633389003,12.0,0.17391304347826086,long
HIT,2025-09-26,2025-09-26,50000.0,0.0,1.0,0.4955411357292322,6.286535334972617,0.0,0.9259782149348011,13.0,0.18840579710144928,long
RXST,2025-09-26,2025-09-26,23445.0,99998.01000000001,1.0,0.9427327819951073,2.9498918703859958,0.0,0.8606288562356641,14.0,0.2028985507246377,long
BJ,2025-09-26,2025-09-26,41392.0,0.0,1.0,0.4955411357292322,5.204937634232206,0.0,0.8178184448607599,15.0,0.21739130434782608,long
WLYB,2025-09-26,2025-09-26,2758.0,110623.38,1.0,0.9902494946025286,0.3505643105327311,0.0,0.6292061278147904,17.0,0.2463768115942029,long
WLY,2025-09-26,2025-09-26,2758.0,110623.38,1.0,0.9902494946025286,0.3505643105327311,0.0,0.6292061278147904,16.0,0.2318840579710145,long
PGEN,2025-09-26,2025-09-26,11216.0,40015.520000000004,1.0,0.6744907594765952,1.4133144676961147,0.0,0.5460259024555686,18.0,0.2608695652173913,long
CPB,2025-09-26,2025-09-26,3545.0,0.0,2.0,0.4955411357292322,0.44945108916687426,0.6744907594765952,0.5446170181972053,19.0,0.2753623188405797,long
MSIF,2025-09-26,2025-09-26,3700.0,50135.0,1.0,0.7197451292440996,0.46892688419647044,0.0,0.4787397659661068,20.0,0.2898550724637681,long
OSUR,2025-09-26,2025-09-26,6118.0,19999.742000000002,1.0,0.584980091063171,0.7727492866581708,0.0,0.42826298330371965,21.0,0.30434782608695654,long
